TCODE,TIMESTAMP,TXID,FREQ,BW,AMP,DEVCNT,X,Y,Z
0,2015-07-31T16:42:07,49508310,503848224,14642,0,5,-73.30,72.06,8.00
0,2015-07-31T16:42:07,108048,528430912,9761,0,4,-82.61,58.71,8.00
0,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
0,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.87,41.25,8.00
0,2015-07-31T16:42:07,30136159,539936576,14642,0,2,-77.53,52.63,8.00
0,2015-07-31T16:42:07,26366415,540001216,9761,0,2,-79.83,46.60,8.00
0,2015-07-31T16:42:07,64847492,540062208,14642,0,2,-80.79,44.09,8.00
0,2015-07-31T16:42:07,63382935,540128128,9761,0,2,-80.06,45.99,8.00
0,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
0,2015-07-31T16:42:07,41153804,552998528,9761,0,4,-63.06,73.09,8.00
0,2015-07-31T16:42:07,27354086,577581952,19522,0,4,-75.48,75.92,8.00
0,2015-07-31T16:42:07,57986540,589863616,4880,0,1,-102.89,95.06,8.00
1,2015-07-31T16:42:07,41824285,500010016,4880,0,1,-73.90,62.15,8.00
1,2015-07-31T16:42:07,49508310,503848224,14642,0,5,-74.89,66.38,8.00
1,2015-07-31T16:42:07,108048,528430592,12201,0,4,-83.95,56.96,8.00
1,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
1,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.56,42.07,8.00
1,2015-07-31T16:42:07,30136159,539936000,14642,0,2,-79.31,47.96,8.00
1,2015-07-31T16:42:07,26366415,540000000,11388,0,1,-77.85,51.78,8.00
1,2015-07-31T16:42:07,64847492,540062848,14642,0,2,-79.71,46.91,8.00
1,2015-07-31T16:42:07,63382935,540127488,9761,0,2,-81.43,42.40,8.00
1,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
1,2015-07-31T16:42:07,41153804,552997568,8676,0,2,-65.17,65.56,8.00
1,2015-07-31T16:42:07,27354086,577581632,17082,0,4,-67.08,68.46,8.00
1,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
1,2015-07-31T16:42:07,57986540,589863616,4880,0,1,-102.89,95.06,8.00
2,2015-07-31T16:42:07,41824285,500010016,4880,0,1,-73.90,62.15,8.00
2,2015-07-31T16:42:07,49508310,503848192,14642,0,4,-75.03,65.07,8.00
2,2015-07-31T16:42:07,108048,528430720,11388,0,4,-86.01,61.68,8.00
2,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
2,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.23,42.92,8.00
2,2015-07-31T16:42:07,30136159,539935744,14642,0,2,-80.08,45.95,8.00
2,2015-07-31T16:42:07,26366415,539999360,12201,0,1,-76.87,54.37,8.00
2,2015-07-31T16:42:07,64847492,540062592,14642,0,2,-80.15,45.75,8.00
2,2015-07-31T16:42:07,63382935,540127744,9761,0,2,-80.85,43.92,8.00
2,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
2,2015-07-31T16:42:07,41153804,552997952,10807,0,5,-68.43,65.45,8.00
2,2015-07-31T16:42:07,27354086,577581120,16269,0,4,-68.55,67.40,8.00
2,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
2,2015-07-31T16:42:07,57986540,589863616,4880,0,1,-102.89,95.06,8.00
3,2015-07-31T16:42:07,41824285,500010016,4880,0,1,-73.90,62.15,8.00
3,2015-07-31T16:42:07,10566841,500012480,9761,0,1,-73.90,62.15,8.00
3,2015-07-31T16:42:07,49508310,503848000,13780,0,3,-71.34,66.20,8.00
3,2015-07-31T16:42:07,108048,528430464,12039,0,3,-85.05,62.86,8.00
3,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
3,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.31,42.71,8.00
3,2015-07-31T16:42:07,30136159,539935680,14642,0,2,-80.46,44.95,8.00
3,2015-07-31T16:42:07,26366415,539999040,12690,0,1,-76.27,55.93,8.00
3,2015-07-31T16:42:07,64847492,540062528,14642,0,2,-80.44,45.00,8.00
3,2015-07-31T16:42:07,63382935,540127808,9761,0,2,-80.99,43.56,8.00
3,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
3,2015-07-31T16:42:07,41153804,552998080,11816,0,5,-67.20,65.69,8.00
3,2015-07-31T16:42:07,27354086,577581184,15862,0,4,-71.09,70.81,8.00
3,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
3,2015-07-31T16:42:07,57986540,589863616,4880,0,1,-102.89,95.06,8.00
4,2015-07-31T16:42:07,41824285,500010016,4880,0,1,-73.90,62.15,8.00
4,2015-07-31T16:42:07,10566841,500012480,9761,0,1,-73.90,62.15,8.00
4,2015-07-31T16:42:07,49508310,503847936,13976,0,5,-71.82,67.79,8.00
4,2015-07-31T16:42:07,108048,528430592,12345,0,2,-85.85,64.75,8.00
4,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
4,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.67,41.78,8.00
4,2015-07-31T16:42:07,30136159,539935872,14642,0,2,-79.81,46.65,8.00
4,2015-07-31T16:42:07,26366415,539999296,13247,0,2,-77.03,53.94,8.00
4,2015-07-31T16:42:07,64847492,540062464,14642,0,2,-80.34,45.27,8.00
4,2015-07-31T16:42:07,63382935,540127872,9761,0,2,-81.12,43.21,8.00
4,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
4,2015-07-31T16:42:07,41153804,552997888,12934,0,5,-69.57,64.94,8.00
4,2015-07-31T16:42:07,27354086,577580928,14642,0,4,-70.47,71.60,8.00
4,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
4,2015-07-31T16:42:07,57986540,589863616,4880,0,1,-102.89,95.06,8.00
5,2015-07-31T16:42:07,10566841,500010016,9761,0,1,-73.90,62.15,8.00
5,2015-07-31T16:42:07,41824285,500010016,4880,0,1,-73.90,62.15,8.00
5,2015-07-31T16:42:07,49508310,503847840,13910,0,3,-71.31,68.42,8.00
5,2015-07-31T16:42:07,108048,528430752,13421,0,3,-87.82,69.13,8.00
5,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
5,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.64,41.84,8.00
5,2015-07-31T16:42:07,30136159,539935616,14642,0,2,-80.36,45.20,8.00
5,2015-07-31T16:42:07,26366415,539998592,14642,0,2,-77.66,52.30,8.00
5,2015-07-31T16:42:07,64847492,540062720,14642,0,2,-79.72,46.88,8.00
5,2015-07-31T16:42:07,63382935,540127872,9761,0,2,-81.36,42.59,8.00
5,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
5,2015-07-31T16:42:07,41153804,552997696,13755,0,5,-71.01,68.29,8.00
5,2015-07-31T16:42:07,27354086,577580672,13614,0,3,-72.18,72.98,8.00
5,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
5,2015-07-31T16:42:07,57986540,589863616,4880,0,1,-102.89,95.06,8.00
6,2015-07-31T16:42:07,10566841,500010016,9761,0,1,-73.90,62.15,8.00
6,2015-07-31T16:42:07,41824285,500008800,4880,0,1,-73.90,62.15,8.00
6,2015-07-31T16:42:07,49508310,503847712,12689,0,5,-67.26,69.38,8.00
6,2015-07-31T16:42:07,108048,528430464,13421,0,4,-86.22,69.57,8.00
6,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
6,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.48,42.26,8.00
6,2015-07-31T16:42:07,30136159,539935616,14642,0,2,-80.02,46.09,8.00
6,2015-07-31T16:42:07,26366415,539998976,13945,0,1,-77.66,52.30,8.00
6,2015-07-31T16:42:07,64847492,540062464,14642,0,2,-80.24,45.51,8.00
6,2015-07-31T16:42:07,63382935,540128128,9761,0,2,-80.94,43.70,8.00
6,2015-07-31T16:42:07,54718731,540187904,4880,0,1,-73.90,62.15,8.00
6,2015-07-31T16:42:07,41153804,552997696,14642,0,4,-64.95,68.48,8.00
6,2015-07-31T16:42:07,27354086,577580288,13614,0,4,-74.43,76.44,8.00
6,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
6,2015-07-31T16:42:07,57986540,589866048,4880,0,1,-102.89,95.06,8.00
7,2015-07-31T16:42:07,41824285,500008800,4880,0,1,-73.90,62.15,8.00
7,2015-07-31T16:42:07,10566841,500012480,9761,0,1,-73.90,62.15,8.00
7,2015-07-31T16:42:07,49508310,503847648,11620,0,5,-63.90,68.66,8.00
7,2015-07-31T16:42:07,108048,528430496,14642,0,2,-84.11,67.83,8.00
7,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
7,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.72,41.64,8.00
7,2015-07-31T16:42:07,30136159,539935616,14642,0,2,-79.59,47.23,8.00
7,2015-07-31T16:42:07,26366415,539999360,14031,0,2,-78.74,49.46,8.00
7,2015-07-31T16:42:07,64847492,540062720,14642,0,2,-79.54,47.37,8.00
7,2015-07-31T16:42:07,63382935,540128128,9761,0,2,-81.16,43.10,8.00
7,2015-07-31T16:42:07,54718731,540188864,4880,0,1,-78.18,50.92,8.00
7,2015-07-31T16:42:07,41153804,552996800,14128,0,1,-61.87,69.79,8.00
7,2015-07-31T16:42:07,27354086,577580416,14642,0,4,-73.35,77.10,8.00
7,2015-07-31T16:42:07,19973506,589866048,9761,0,1,-102.89,95.06,8.00
7,2015-07-31T16:42:07,57986540,589865216,4880,0,1,-102.89,95.06,8.00
8,2015-07-31T16:42:07,4111211,500019808,34164,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,41824285,500008800,4880,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,10566841,500012480,9761,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,49508310,503847744,11459,0,5,-66.13,68.18,8.00
8,2015-07-31T16:42:07,108048,528430496,14642,0,3,-86.48,67.58,8.00
8,2015-07-31T16:42:07,66502754,539807232,4880,0,1,-73.90,62.15,8.00
8,2015-07-31T16:42:07,6590935,539870656,9761,0,2,-81.83,41.36,8.00
