TCODE,TIMESTAMP,TXID,FREQ,BW,AMP,DEVCNT,X,Y,Z,TLW
0,2015-07-31T16:42:07,49508310,503848224,14642,-37.48,5,-73.30,72.06,8.00,4.8
0,2015-07-31T16:42:07,108048,528430912,9761,-93.96,4,-82.61,58.71,8.00,3.9
0,2015-07-31T16:42:07,66502754,539807232,4880,-83.26,1,-73.90,62.15,8.00,7
0,2015-07-31T16:42:07,6590935,539870656,9761,-79.68,2,-81.87,41.25,8.00,0.1
0,2015-07-31T16:42:07,30136159,539936576,14642,-43.6,2,-77.53,52.63,8.00,1
0,2015-07-31T16:42:07,26366415,540001216,9761,-93.29,2,-79.83,46.60,8.00,1.9
0,2015-07-31T16:42:07,64847492,540062208,14642,-74.02,2,-80.79,44.09,8.00,1.2
0,2015-07-31T16:42:07,63382935,540128128,9761,-37.7,2,-80.06,45.99,8.00,5.5
0,2015-07-31T16:42:07,54718731,540187904,4880,-99.2,1,-73.90,62.15,8.00,1.6
0,2015-07-31T16:42:07,41153804,552998528,9761,-62.29,4,-63.06,73.09,8.00,6
0,2015-07-31T16:42:07,27354086,577581952,19522,-89.51,4,-75.48,75.92,8.00,1.1
0,2015-07-31T16:42:07,57986540,589863616,4880,-80.18,1,-102.89,95.06,8.00,3.3
1,2015-07-31T16:42:07,41824285,500010016,4880,-97.23,1,-73.90,62.15,8.00,8
1,2015-07-31T16:42:07,49508310,503848224,14642,-78.59,5,-74.89,66.38,8.00,6.5
1,2015-07-31T16:42:07,108048,528430592,12201,-86.38,4,-83.95,56.96,8.00,3.4
1,2015-07-31T16:42:07,66502754,539807232,4880,-82.3,1,-73.90,62.15,8.00,4.6
1,2015-07-31T16:42:07,6590935,539870656,9761,-81.96,2,-81.56,42.07,8.00,0
1,2015-07-31T16:42:07,30136159,539936000,14642,-83.16,2,-79.31,47.96,8.00,1.7
1,2015-07-31T16:42:07,26366415,540000000,11388,-59.59,1,-77.85,51.78,8.00,2.7
1,2015-07-31T16:42:07,64847492,540062848,14642,-93.83,2,-79.71,46.91,8.00,5.5
1,2015-07-31T16:42:07,63382935,540127488,9761,-56.85,2,-81.43,42.40,8.00,1.9
1,2015-07-31T16:42:07,54718731,540187904,4880,-96.93,1,-73.90,62.15,8.00,1.5
1,2015-07-31T16:42:07,41153804,552997568,8676,-43.84,2,-65.17,65.56,8.00,0.7
1,2015-07-31T16:42:07,27354086,577581632,17082,-67.67,4,-67.08,68.46,8.00,1.4
1,2015-07-31T16:42:07,19973506,589866048,9761,-81.89,1,-102.89,95.06,8.00,0.5
1,2015-07-31T16:42:07,57986540,589863616,4880,-76.85,1,-102.89,95.06,8.00,2
2,2015-07-31T16:42:07,41824285,500010016,4880,-78.49,1,-73.90,62.15,8.00,9.1
2,2015-07-31T16:42:07,49508310,503848192,14642,-98.55,4,-75.03,65.07,8.00,0.7
2,2015-07-31T16:42:07,108048,528430720,11388,-97.41,4,-86.01,61.68,8.00,2.1
2,2015-07-31T16:42:07,66502754,539807232,4880,-74.1,1,-73.90,62.15,8.00,0.4
2,2015-07-31T16:42:07,6590935,539870656,9761,-80.58,2,-81.23,42.92,8.00,2.9
2,2015-07-31T16:42:07,30136159,539935744,14642,-75.18,2,-80.08,45.95,8.00,3
2,2015-07-31T16:42:07,26366415,539999360,12201,-49.62,1,-76.87,54.37,8.00,4.3
2,2015-07-31T16:42:07,64847492,540062592,14642,-103.29,2,-80.15,45.75,8.00,4.6
2,2015-07-31T16:42:07,63382935,540127744,9761,-56.08,2,-80.85,43.92,8.00,6
2,2015-07-31T16:42:07,54718731,540187904,4880,-84.78,1,-73.90,62.15,8.00,2.3
2,2015-07-31T16:42:07,41153804,552997952,10807,-94.51,5,-68.43,65.45,8.00,4.8
2,2015-07-31T16:42:07,27354086,577581120,16269,-69.94,4,-68.55,67.40,8.00,2.1
2,2015-07-31T16:42:07,19973506,589866048,9761,-59.25,1,-102.89,95.06,8.00,0.7
2,2015-07-31T16:42:07,57986540,589863616,4880,-89.82,1,-102.89,95.06,8.00,5.1
3,2015-07-31T16:42:07,41824285,500010016,4880,-104.47,1,-73.90,62.15,8.00,1.6
3,2015-07-31T16:42:07,10566841,500012480,9761,-99.59,1,-73.90,62.15,8.00,4.5
3,2015-07-31T16:42:07,49508310,503848000,13780,-98.41,3,-71.34,66.20,8.00,4.6
3,2015-07-31T16:42:07,108048,528430464,12039,-90.21,3,-85.05,62.86,8.00,1.6
3,2015-07-31T16:42:07,66502754,539807232,4880,-82.39,1,-73.90,62.15,8.00,7.2
3,2015-07-31T16:42:07,6590935,539870656,9761,-36.77,2,-81.31,42.71,8.00,0
3,2015-07-31T16:42:07,30136159,539935680,14642,-73.53,2,-80.46,44.95,8.00,5.5
3,2015-07-31T16:42:07,26366415,539999040,12690,-80.95,1,-76.27,55.93,8.00,8.5
3,2015-07-31T16:42:07,64847492,540062528,14642,-99.61,2,-80.44,45.00,8.00,6.2
3,2015-07-31T16:42:07,63382935,540127808,9761,-81.28,2,-80.99,43.56,8.00,1.2
3,2015-07-31T16:42:07,54718731,540187904,4880,-30.85,1,-73.90,62.15,8.00,2.6
3,2015-07-31T16:42:07,41153804,552998080,11816,-81.25,5,-67.20,65.69,8.00,8.7
3,2015-07-31T16:42:07,27354086,577581184,15862,-103.21,4,-71.09,70.81,8.00,1.3
3,2015-07-31T16:42:07,19973506,589866048,9761,-78.18,1,-102.89,95.06,8.00,0.7
3,2015-07-31T16:42:07,57986540,589863616,4880,-60.47,1,-102.89,95.06,8.00,5.7
4,2015-07-31T16:42:07,41824285,500010016,4880,-95.09,1,-73.90,62.15,8.00,6.7
4,2015-07-31T16:42:07,10566841,500012480,9761,-83.25,1,-73.90,62.15,8.00,8.3
4,2015-07-31T16:42:07,49508310,503847936,13976,-79,5,-71.82,67.79,8.00,6.1
4,2015-07-31T16:42:07,108048,528430592,12345,-56.47,2,-85.85,64.75,8.00,0.4
4,2015-07-31T16:42:07,66502754,539807232,4880,-85.98,1,-73.90,62.15,8.00,3.2
4,2015-07-31T16:42:07,6590935,539870656,9761,-88.97,2,-81.67,41.78,8.00,8.4
4,2015-07-31T16:42:07,30136159,539935872,14642,-76.23,2,-79.81,46.65,8.00,0.5
4,2015-07-31T16:42:07,26366415,539999296,13247,-84.46,2,-77.03,53.94,8.00,7
4,2015-07-31T16:42:07,64847492,540062464,14642,-34.93,2,-80.34,45.27,8.00,4.3
4,2015-07-31T16:42:07,63382935,540127872,9761,-100.18,2,-81.12,43.21,8.00,3.9
4,2015-07-31T16:42:07,54718731,540187904,4880,-58.72,1,-73.90,62.15,8.00,8.9
4,2015-07-31T16:42:07,41153804,552997888,12934,-96.55,5,-69.57,64.94,8.00,6.6
4,2015-07-31T16:42:07,27354086,577580928,14642,-92.66,4,-70.47,71.60,8.00,3.7
4,2015-07-31T16:42:07,19973506,589866048,9761,-67.93,1,-102.89,95.06,8.00,3.5
4,2015-07-31T16:42:07,57986540,589863616,4880,-73.69,1,-102.89,95.06,8.00,9.3
5,2015-07-31T16:42:07,10566841,500010016,9761,-57.2,1,-73.90,62.15,8.00,1.3
5,2015-07-31T16:42:07,41824285,500010016,4880,-63.85,1,-73.90,62.15,8.00,6.4
5,2015-07-31T16:42:07,49508310,503847840,13910,-80.51,3,-71.31,68.42,8.00,6.8
5,2015-07-31T16:42:07,108048,528430752,13421,-82.73,3,-87.82,69.13,8.00,2.8
5,2015-07-31T16:42:07,66502754,539807232,4880,-95.7,1,-73.90,62.15,8.00,3.4
5,2015-07-31T16:42:07,6590935,539870656,9761,-79.38,2,-81.64,41.84,8.00,5.3
5,2015-07-31T16:42:07,30136159,539935616,14642,-87.62,2,-80.36,45.20,8.00,2.7
5,2015-07-31T16:42:07,26366415,539998592,14642,-81.58,2,-77.66,52.30,8.00,7.7
5,2015-07-31T16:42:07,64847492,540062720,14642,-57.5,2,-79.72,46.88,8.00,6.2
5,2015-07-31T16:42:07,63382935,540127872,9761,-93.14,2,-81.36,42.59,8.00,4.3
5,2015-07-31T16:42:07,54718731,540187904,4880,-59.68,1,-73.90,62.15,8.00,8.3
5,2015-07-31T16:42:07,41153804,552997696,13755,-74.06,5,-71.01,68.29,8.00,2.9
5,2015-07-31T16:42:07,27354086,577580672,13614,-62.52,3,-72.18,72.98,8.00,5.5
5,2015-07-31T16:42:07,19973506,589866048,9761,-71.54,1,-102.89,95.06,8.00,7.1
5,2015-07-31T16:42:07,57986540,589863616,4880,-71.25,1,-102.89,95.06,8.00,1.2
6,2015-07-31T16:42:07,10566841,500010016,9761,-98.39,1,-73.90,62.15,8.00,8.2
6,2015-07-31T16:42:07,41824285,500008800,4880,-66.87,1,-73.90,62.15,8.00,4.4
6,2015-07-31T16:42:07,49508310,503847712,12689,-95.68,5,-67.26,69.38,8.00,0.6
6,2015-07-31T16:42:07,108048,528430464,13421,-56.31,4,-86.22,69.57,8.00,2.2
6,2015-07-31T16:42:07,66502754,539807232,4880,-81.84,1,-73.90,62.15,8.00,5.4
6,2015-07-31T16:42:07,6590935,539870656,9761,-38.5,2,-81.48,42.26,8.00,2.7
6,2015-07-31T16:42:07,30136159,539935616,14642,-103.56,2,-80.02,46.09,8.00,0.9
6,2015-07-31T16:42:07,26366415,539998976,13945,-79.22,1,-77.66,52.30,8.00,7.5
6,2015-07-31T16:42:07,64847492,540062464,14642,-86.89,2,-80.24,45.51,8.00,2.6
6,2015-07-31T16:42:07,63382935,540128128,9761,-72.92,2,-80.94,43.70,8.00,7.8
6,2015-07-31T16:42:07,54718731,540187904,4880,-65.41,1,-73.90,62.15,8.00,9.6
6,2015-07-31T16:42:07,41153804,552997696,14642,-81.78,4,-64.95,68.48,8.00,1.2
6,2015-07-31T16:42:07,27354086,577580288,13614,-93.72,4,-74.43,76.44,8.00,3.3
6,2015-07-31T16:42:07,19973506,589866048,9761,-72.8,1,-102.89,95.06,8.00,3.3
6,2015-07-31T16:42:07,57986540,589866048,4880,-100.85,1,-102.89,95.06,8.00,3.4
7,2015-07-31T16:42:07,41824285,500008800,4880,-82.94,1,-73.90,62.15,8.00,8.9
7,2015-07-31T16:42:07,10566841,500012480,9761,-70.43,1,-73.90,62.15,8.00,3.6
7,2015-07-31T16:42:07,49508310,503847648,11620,-68.45,5,-63.90,68.66,8.00,6.5
7,2015-07-31T16:42:07,108048,528430496,14642,-63.03,2,-84.11,67.83,8.00,2.1
7,2015-07-31T16:42:07,66502754,539807232,4880,-89.53,1,-73.90,62.15,8.00,4.5
7,2015-07-31T16:42:07,6590935,539870656,9761,-64.52,2,-81.72,41.64,8.00,5.4
7,2015-07-31T16:42:07,30136159,539935616,14642,-85.8,2,-79.59,47.23,8.00,0.1
7,2015-07-31T16:42:07,26366415,539999360,14031,-75.73,2,-78.74,49.46,8.00,6.3
7,2015-07-31T16:42:07,64847492,540062720,14642,-70.93,2,-79.54,47.37,8.00,0.5
7,2015-07-31T16:42:07,63382935,540128128,9761,-63.6,2,-81.16,43.10,8.00,4.3
7,2015-07-31T16:42:07,54718731,540188864,4880,-93.46,1,-78.18,50.92,8.00,7.2
7,2015-07-31T16:42:07,41153804,552996800,14128,-84.99,1,-61.87,69.79,8.00,2.6
7,2015-07-31T16:42:07,27354086,577580416,14642,-59.48,4,-73.35,77.10,8.00,5.4
7,2015-07-31T16:42:07,19973506,589866048,9761,-88.45,1,-102.89,95.06,8.00,0.2
7,2015-07-31T16:42:07,57986540,589865216,4880,-103.86,1,-102.89,95.06,8.00,1.3
8,2015-07-31T16:42:07,4111211,500019808,34164,-65.1,1,-73.90,62.15,8.00,1.7
8,2015-07-31T16:42:07,41824285,500008800,4880,-90.03,1,-73.90,62.15,8.00,5.8
8,2015-07-31T16:42:07,10566841,500012480,9761,-95.11,1,-73.90,62.15,8.00,3.6
8,2015-07-31T16:42:07,49508310,503847744,11459,-72.48,5,-66.13,68.18,8.00,2
8,2015-07-31T16:42:07,108048,528430496,14642,-62.08,3,-86.48,67.58,8.00,5.2
8,2015-07-31T16:42:07,66502754,539807232,4880,-88.86,1,-73.90,62.15,8.00,2.4
8,2015-07-31T16:42:07,6590935,539870656,9761,-67.28,2,-81.83,41.36,8.00,4.3
8,2015-07-31T16:42:07,30136159,539935616,14642,-39.99,2,-79.22,48.19,8.00,3.6
8,2015-07-31T16:42:07,26366415,539999680,13421,-85.33,1,-78.74,49.46,8.00,6.6
8,2015-07-31T16:42:07,64847492,540062720,14642,-91.39,2,-79.19,48.28,8.00,2
8,2015-07-31T16:42:07,63382935,540128128,9761,-88.7,2,-81.16,43.10,8.00,9.2
8,2015-07-31T16:42:07,54718731,540188864,4880,-66.44,1,-78.18,50.92,8.00,3
