TCODE,TIMESTAMP,TXID,FREQ,BW,AMP,DEVCNT,X,Y,Z,TLW
0,2015-07-31T16:42:07,21719957,503848224,14642,-88.61,5,-73.30,72.06,8.00,4.4
0,2015-07-31T16:42:07,31092464,528430912,9761,-75.52,4,-82.61,58.71,8.00,0.6
0,2015-07-31T16:42:07,4119061,539807232,4880,-89.96,1,-73.90,62.15,8.00,1
0,2015-07-31T16:42:07,47201386,539870656,9761,-95.28,2,-81.87,41.25,8.00,4
0,2015-07-31T16:42:07,32445129,539936576,14642,-65.46,2,-77.53,52.63,8.00,7.5
0,2015-07-31T16:42:07,8218221,540001216,9761,-94.86,2,-79.83,46.60,8.00,5.5
0,2015-07-31T16:42:07,26532479,540062208,14642,-83.24,2,-80.79,44.09,8.00,0.8
0,2015-07-31T16:42:07,39828760,540128128,9761,-80.31,2,-80.06,45.99,8.00,1
0,2015-07-31T16:42:07,72714422,540187904,4880,-88.37,1,-73.90,62.15,8.00,4.9
0,2015-07-31T16:42:07,67452196,552998528,9761,-71.64,4,-63.06,73.09,8.00,6.9
0,2015-07-31T16:42:07,23171094,577581952,19522,-73.82,4,-75.48,75.92,8.00,6.6
0,2015-07-31T16:42:07,29124201,589863616,4880,-90.81,1,-102.89,95.06,8.00,3.6
0,2015-07-31T16:42:07,97457024,500010016,4880,-97.67,1,-73.90,62.15,8.00,0.4
0,2015-07-31T16:42:07,73722830,503848224,14642,-89.48,5,-74.89,66.38,8.00,3.2
0,2015-07-31T16:42:07,56234652,528430592,12201,-94.98,4,-83.95,56.96,8.00,7.5
0,2015-07-31T16:42:07,84980770,539807232,4880,-71.37,1,-73.90,62.15,8.00,3.7
0,2015-07-31T16:42:07,49981449,539870656,9761,-48.44,2,-81.56,42.07,8.00,3.9
0,2015-07-31T16:42:07,57883245,539936000,14642,-72.25,2,-79.31,47.96,8.00,3.1
0,2015-07-31T16:42:07,60274584,540000000,11388,-73.68,1,-77.85,51.78,8.00,0.1
0,2015-07-31T16:42:07,86646957,540062848,14642,-81.94,2,-79.71,46.91,8.00,7
0,2015-07-31T16:42:07,5031831,540127488,9761,-99.14,2,-81.43,42.40,8.00,7.4
0,2015-07-31T16:42:07,90020088,540187904,4880,-38.11,1,-73.90,62.15,8.00,5.5
0,2015-07-31T16:42:07,25609663,552997568,8676,-98.07,2,-65.17,65.56,8.00,6.3
0,2015-07-31T16:42:07,38367025,577581632,17082,-72.83,4,-67.08,68.46,8.00,6.7
0,2015-07-31T16:42:07,14254985,589866048,9761,-45.76,1,-102.89,95.06,8.00,4.2
0,2015-07-31T16:42:07,1928491,589863616,4880,-89.6,1,-102.89,95.06,8.00,8.5
0,2015-07-31T16:42:07,15126238,500010016,4880,-60.5,1,-73.90,62.15,8.00,4
0,2015-07-31T16:42:07,41826922,503848192,14642,-103.17,4,-75.03,65.07,8.00,3.7
0,2015-07-31T16:42:07,80104550,528430720,11388,-93.22,4,-86.01,61.68,8.00,3.4
0,2015-07-31T16:42:07,6948611,539807232,4880,-63,1,-73.90,62.15,8.00,5
0,2015-07-31T16:42:07,85602014,539870656,9761,-86.54,2,-81.23,42.92,8.00,1.2
0,2015-07-31T16:42:07,18092314,539935744,14642,-73.96,2,-80.08,45.95,8.00,2.5
0,2015-07-31T16:42:07,77253014,539999360,12201,-75.34,1,-76.87,54.37,8.00,3
0,2015-07-31T16:42:07,51403722,540062592,14642,-58.65,2,-80.15,45.75,8.00,0.8
0,2015-07-31T16:42:07,46823462,540127744,9761,-81.56,2,-80.85,43.92,8.00,0.6
0,2015-07-31T16:42:07,89442326,540187904,4880,-70.44,1,-73.90,62.15,8.00,4.7
0,2015-07-31T16:42:07,28765034,552997952,10807,-78.34,5,-68.43,65.45,8.00,6.2
0,2015-07-31T16:42:07,82234875,577581120,16269,-55.34,4,-68.55,67.40,8.00,6.6
0,2015-07-31T16:42:07,10674193,589866048,9761,-44.59,1,-102.89,95.06,8.00,0.3
0,2015-07-31T16:42:07,65685263,589863616,4880,-59.04,1,-102.89,95.06,8.00,3.9
0,2015-07-31T16:42:07,62793208,500010016,4880,-76.26,1,-73.90,62.15,8.00,8.2
0,2015-07-31T16:42:07,43437532,500012480,9761,-70.92,1,-73.90,62.15,8.00,5.3
0,2015-07-31T16:42:07,77840876,503848000,13780,-80.21,3,-71.34,66.20,8.00,2.8
0,2015-07-31T16:42:07,56787131,528430464,12039,-97.1,3,-85.05,62.86,8.00,4.8
0,2015-07-31T16:42:07,50786609,539807232,4880,-61.67,1,-73.90,62.15,8.00,4.1
0,2015-07-31T16:42:07,19678042,539870656,9761,-43.04,2,-81.31,42.71,8.00,0.3
0,2015-07-31T16:42:07,40283991,539935680,14642,-93.82,2,-80.46,44.95,8.00,7.6
0,2015-07-31T16:42:07,78557182,539999040,12690,-97.57,1,-76.27,55.93,8.00,2.1
0,2015-07-31T16:42:07,46385970,540062528,14642,-62.17,2,-80.44,45.00,8.00,5.7
0,2015-07-31T16:42:07,23916239,540127808,9761,-96.3,2,-80.99,43.56,8.00,1
0,2015-07-31T16:42:07,49018198,540187904,4880,-100.89,1,-73.90,62.15,8.00,2.4
0,2015-07-31T16:42:07,60267243,552998080,11816,-100.1,5,-67.20,65.69,8.00,2.3
0,2015-07-31T16:42:07,74311528,577581184,15862,-53.26,4,-71.09,70.81,8.00,4.8
0,2015-07-31T16:42:07,95825082,589866048,9761,-99.6,1,-102.89,95.06,8.00,1.6
0,2015-07-31T16:42:07,30178177,589863616,4880,-78.79,1,-102.89,95.06,8.00,2.7
0,2015-07-31T16:42:07,82071321,500010016,4880,-99.49,1,-73.90,62.15,8.00,7.4
0,2015-07-31T16:42:07,32023519,500012480,9761,-75.05,1,-73.90,62.15,8.00,5.1
0,2015-07-31T16:42:07,46684430,503847936,13976,-72.28,5,-71.82,67.79,8.00,6.6
0,2015-07-31T16:42:07,76193615,528430592,12345,-74.05,2,-85.85,64.75,8.00,5.7
0,2015-07-31T16:42:07,66456264,539807232,4880,-67.59,1,-73.90,62.15,8.00,3.9
0,2015-07-31T16:42:07,74293224,539870656,9761,-77.64,2,-81.67,41.78,8.00,6.3
0,2015-07-31T16:42:07,84573193,539935872,14642,-79.21,2,-79.81,46.65,8.00,1.5
0,2015-07-31T16:42:07,1241529,539999296,13247,-104.58,2,-77.03,53.94,8.00,2.8
0,2015-07-31T16:42:07,25733487,540062464,14642,-76.94,2,-80.34,45.27,8.00,4
0,2015-07-31T16:42:07,38330818,540127872,9761,-104.58,2,-81.12,43.21,8.00,3.2
0,2015-07-31T16:42:07,10528055,540187904,4880,-101.12,1,-73.90,62.15,8.00,0.5
0,2015-07-31T16:42:07,40350605,552997888,12934,-74.21,5,-69.57,64.94,8.00,0.9
0,2015-07-31T16:42:07,85789971,577580928,14642,-45.44,4,-70.47,71.60,8.00,5.7
0,2015-07-31T16:42:07,80629945,589866048,9761,-53.7,1,-102.89,95.06,8.00,2.1
0,2015-07-31T16:42:07,40196471,589863616,4880,-84.17,1,-102.89,95.06,8.00,5.7
0,2015-07-31T16:42:07,71354915,500010016,9761,-91.91,1,-73.90,62.15,8.00,5.7
0,2015-07-31T16:42:07,97657621,500010016,4880,-83.59,1,-73.90,62.15,8.00,7.5
0,2015-07-31T16:42:07,36222914,503847840,13910,-59.95,3,-71.31,68.42,8.00,1.2
0,2015-07-31T16:42:07,91313564,528430752,13421,-101.66,3,-87.82,69.13,8.00,4.3
0,2015-07-31T16:42:07,15771152,539807232,4880,-97.31,1,-73.90,62.15,8.00,4.4
0,2015-07-31T16:42:07,82944755,539870656,9761,-99.6,2,-81.64,41.84,8.00,0.8
0,2015-07-31T16:42:07,44643962,539935616,14642,-86.73,2,-80.36,45.20,8.00,2.3
0,2015-07-31T16:42:07,709829,539998592,14642,-93.66,2,-77.66,52.30,8.00,1.8
0,2015-07-31T16:42:07,58958192,540062720,14642,-50.81,2,-79.72,46.88,8.00,5.8
0,2015-07-31T16:42:07,86510644,540127872,9761,-78.87,2,-81.36,42.59,8.00,3.8
0,2015-07-31T16:42:07,42437352,540187904,4880,-74.74,1,-73.90,62.15,8.00,0.5
0,2015-07-31T16:42:07,81466319,552997696,13755,-66.1,5,-71.01,68.29,8.00,2.9
0,2015-07-31T16:42:07,26588246,577580672,13614,-64.02,3,-72.18,72.98,8.00,0.5
0,2015-07-31T16:42:07,53326616,589866048,9761,-84.34,1,-102.89,95.06,8.00,2.8
0,2015-07-31T16:42:07,90789331,589863616,4880,-78.62,1,-102.89,95.06,8.00,1.6
0,2015-07-31T16:42:07,72783281,500010016,9761,-100.46,1,-73.90,62.15,8.00,7.4
0,2015-07-31T16:42:07,44242827,500008800,4880,-71.33,1,-73.90,62.15,8.00,4
0,2015-07-31T16:42:07,17213299,503847712,12689,-50.76,5,-67.26,69.38,8.00,3.8
0,2015-07-31T16:42:07,88048800,528430464,13421,-70.59,4,-86.22,69.57,8.00,2.3
0,2015-07-31T16:42:07,23488371,539807232,4880,-100.73,1,-73.90,62.15,8.00,2.6
0,2015-07-31T16:42:07,49096925,539870656,9761,-77.26,2,-81.48,42.26,8.00,5
0,2015-07-31T16:42:07,61452891,539935616,14642,-86.96,2,-80.02,46.09,8.00,6
0,2015-07-31T16:42:07,32456490,539998976,13945,-54.98,1,-77.66,52.30,8.00,0.7
0,2015-07-31T16:42:07,23933989,540062464,14642,-69.37,2,-80.24,45.51,8.00,4.8
0,2015-07-31T16:42:07,96436922,540128128,9761,-61.07,2,-80.94,43.70,8.00,4.9
0,2015-07-31T16:42:07,30110104,540187904,4880,-75.43,1,-73.90,62.15,8.00,9.1
0,2015-07-31T16:42:07,34178117,552997696,14642,-81.47,4,-64.95,68.48,8.00,4.8
0,2015-07-31T16:42:07,48056739,577580288,13614,-95,4,-74.43,76.44,8.00,5.3
0,2015-07-31T16:42:07,12472859,589866048,9761,-55.68,1,-102.89,95.06,8.00,6.9
0,2015-07-31T16:42:07,66553711,589866048,4880,-80.34,1,-102.89,95.06,8.00,4.1
0,2015-07-31T16:42:07,4969485,500008800,4880,-75.18,1,-73.90,62.15,8.00,6.8
0,2015-07-31T16:42:07,7749499,500012480,9761,-85.99,1,-73.90,62.15,8.00,2.5
0,2015-07-31T16:42:07,1814812,503847648,11620,-71.59,5,-63.90,68.66,8.00,5.4
0,2015-07-31T16:42:07,35076593,528430496,14642,-92.77,2,-84.11,67.83,8.00,2.7
0,2015-07-31T16:42:07,11458902,539807232,4880,-95.17,1,-73.90,62.15,8.00,0.7
0,2015-07-31T16:42:07,39642197,539870656,9761,-63.76,2,-81.72,41.64,8.00,1.9
0,2015-07-31T16:42:07,73629536,539935616,14642,-68.82,2,-79.59,47.23,8.00,5.5
0,2015-07-31T16:42:07,55099827,539999360,14031,-85.65,2,-78.74,49.46,8.00,2
0,2015-07-31T16:42:07,15702816,540062720,14642,-33.44,2,-79.54,47.37,8.00,2.5
0,2015-07-31T16:42:07,31264066,540128128,9761,-64.17,2,-81.16,43.10,8.00,6.9
0,2015-07-31T16:42:07,95053177,540188864,4880,-97.36,1,-78.18,50.92,8.00,0.3
0,2015-07-31T16:42:07,81909468,552996800,14128,-30.01,1,-61.87,69.79,8.00,8.8
0,2015-07-31T16:42:07,97461205,577580416,14642,-83.56,4,-73.35,77.10,8.00,1.3
0,2015-07-31T16:42:07,7619281,589866048,9761,-64.96,1,-102.89,95.06,8.00,3.6
0,2015-07-31T16:42:07,32725589,589865216,4880,-87.96,1,-102.89,95.06,8.00,6.2
0,2015-07-31T16:42:07,88375877,500019808,34164,-89.35,1,-73.90,62.15,8.00,0.3
0,2015-07-31T16:42:07,43978304,500008800,4880,-100.89,1,-73.90,62.15,8.00,6.2
0,2015-07-31T16:42:07,66287037,500012480,9761,-96.92,1,-73.90,62.15,8.00,3.1
0,2015-07-31T16:42:07,17639165,503847744,11459,-86.15,5,-66.13,68.18,8.00,7.2
0,2015-07-31T16:42:07,91198725,528430496,14642,-87.51,3,-86.48,67.58,8.00,7.2
0,2015-07-31T16:42:07,46790154,539807232,4880,-88.89,1,-73.90,62.15,8.00,1.9
0,2015-07-31T16:42:07,9804938,539870656,9761,-68.12,2,-81.83,41.36,8.00,4.9
0,2015-07-31T16:42:07,97686415,539935616,14642,-67.42,2,-79.22,48.19,8.00,1.9
0,2015-07-31T16:42:07,25368629,539999680,13421,-55.96,1,-78.74,49.46,8.00,0
0,2015-07-31T16:42:07,13389982,540062720,14642,-87.46,2,-79.19,48.28,8.00,4.4
0,2015-07-31T16:42:07,39997342,540128128,9761,-92.84,2,-81.16,43.10,8.00,3.4
0,2015-07-31T16:42:07,98890158,540188864,4880,-94.64,1,-78.18,50.92,8.00,0.5
0,2015-07-31T16:42:07,33494614,552997312,13247,-49.33,1,-62.27,64.61,8.00,5.2
0,2015-07-31T16:42:07,37170858,577580288,14641,-84.05,4,-73.87,75.10,8.00,2.8
0,2015-07-31T16:42:07,723374,589866048,9761,-104.93,1,-102.89,95.06,8.00,2.6
0,2015-07-31T16:42:07,7085350,589865216,4880,-100.53,1,-102.89,95.06,8.00,6.7
0,2015-07-31T16:42:07,56559422,500017344,29283,-48.63,1,-73.90,62.15,8.00,4.2
0,2015-07-31T16:42:07,12022998,500008800,4880,-74.19,1,-73.90,62.15,8.00,6.2
0,2015-07-31T16:42:07,93994867,500012480,9761,-101.08,1,-73.90,62.15,8.00,1.9
0,2015-07-31T16:42:07,65782627,503847840,11459,-97.13,5,-66.65,67.23,8.00,2
