TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
1,2015-08-19T15:36:58,2412000000,22000000,2787451625682830468,-86.0,1,12.12,68.01,0.0,0
1,2015-08-19T15:36:58,2412000000,22000000,3840169614833681540,-88.0,2,22.7535800203,53.8817576909,0.0,0
1,2015-08-19T15:36:58,2412000000,22000000,3840169614756938789,-78.0,1,75.18,11.62,0.0,0
1,2015-08-19T15:36:58,2412000000,22000000,3840169614827193480,-82.0,2,22.7535800203,53.8817576909,0.0,0
1,2015-08-19T15:36:58,2412000000,22000000,3840169614769521742,-28.0,4,36.7043225373,34.1727714755,0.0,0
1,2015-08-19T15:36:58,2412000000,22000000,2787451625676342408,-76.0,2,18.885260576,59.0213771167,0.0,0
1,2015-08-19T15:36:58,2412000000,22000000,2654313588036535428,-88.0,1,75.18,11.62,0.0,0
2,2015-08-19T15:36:58,2412000000,22000000,2787451625682830468,-86.0,1,12.12,68.01,0.0,0
2,2015-08-19T15:36:58,2412000000,22000000,2787451625676342408,-76.0,2,18.885260576,59.0213771167,0.0,0
2,2015-08-19T15:36:58,2412000000,22000000,3840169614769521742,-30.0,4,36.4084552227,34.1832968639,0.0,0
2,2015-08-19T15:36:58,2412000000,22000000,3840169614827193480,-82.0,1,12.12,68.01,0.0,0
2,2015-08-19T15:36:58,2412000000,22000000,2956055188205077493,-77.5652160645,3,45.4508259952,18.5225768101,0.0,0
2,2015-08-19T15:36:58,2412000000,22000000,3840169614833681540,-86.0,2,48.9762658819,35.0521054062,0.0,0
3,2015-08-19T15:36:58,2412000000,22000000,2787451625676342408,-78.0,1,12.12,68.01,0.0,0
3,2015-08-19T15:36:58,2412000000,22000000,3840169614833681540,-85.75,2,44.3221250902,39.2139671133,0.0,0
3,2015-08-19T15:36:58,2412000000,22000000,3840169614827193480,-83.8571395874,3,37.8805003167,41.7111193048,0.0,0
3,2015-08-19T15:36:58,2412000000,22000000,3840169614769521742,-31.40350914,4,35.3564668056,34.2756018959,0.0,0
3,2015-08-19T15:36:58,2412000000,22000000,2293743807856247944,-82.0,1,12.12,68.01,0.0,0
3,2015-08-19T15:36:58,2412000000,22000000,2956055188205077493,-76.0,2,66.4661170153,16.8269346151,0.0,0
