TCODE,TIMESTAMP,FREQ,BW,TXID,AMP,DEVCNT,X,Y,Z,TLW
1,2015-08-20T15:48:30,2412000000,22000000,3840169614827193480,-56.0,4,99,64,0,0
1,2015-08-20T15:48:30,2412000000,22000000,2845716963044295771,-89.0,1,102,63,0,0
1,2015-08-20T15:48:30,2412000000,22000000,3840169614833681540,-66.0,4,93,65,0,0
1,2015-08-20T15:48:30,2412000000,22000000,3840169614769521742,-34.0,6,36,33,0,0
2,2015-08-20T15:48:30,2412000000,22000000,3840169614827193480,-58.0,5,99,63,0,0
2,2015-08-20T15:48:30,2412000000,22000000,2785762642672092296,-58.0,5,98,63,0,0
2,2015-08-20T15:48:30,2412000000,22000000,2249551794131043464,-78.625,1,37,34,0,0
2,2015-08-20T15:48:30,2412000000,22000000,3840169614833681540,-66.0,5,95,64,0,0
2,2015-08-20T15:48:30,2412000000,22000000,3840169614769521742,-32.4697990417,6,36,33,0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614833681540,-67.4098358154,4,90,65,0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614827193480,-57.7272720337,5,97,63,0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614769521742,-32.634147644,6,35,35,0,0
3,2015-08-20T15:48:30,2412000000,22000000,2249551794131043464,-56.7777786255,3,99,64,0,0
3,2015-08-20T15:48:30,2412000000,22000000,2670921200072983684,-67.3846130371,5,91,63,0,0
3,2015-08-20T15:48:30,2412000000,22000000,2368052961189692552,-58.0,2,100,63,0,0
3,2015-08-20T15:48:30,2412000000,22000000,3840169614836171867,-88.0,2,79,80,0,0
4,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-66.0,5,94,64,0,0
4,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,4,96,63,0,0
4,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-34.0,6,35,34,0,0
4,2015-08-20T15:48:31,2412000000,22000000,2412244974857225294,-34.0,5,35,35,0,0
4,2015-08-20T15:48:31,2412000000,22000000,2708356959627183185,-63.2727279663,2,70,13,0,0
4,2015-08-20T15:48:31,2412000000,22000000,2293743807798576206,-34.0,5,35,34,0,0
4,2015-08-20T15:48:31,2412000000,22000000,2670921200072983684,-66.3469390869,4,92,63,0,0
4,2015-08-20T15:48:31,2412000000,22000000,2848812985857999950,-37.5294113159,5,35,34,0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-66.0,5,95,64,0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,5,98,63,0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-34.0,6,35,35,0,0
5,2015-08-20T15:48:31,2412000000,22000000,2293743807798576206,-60.0,2,79,80,0,0
5,2015-08-20T15:48:31,2412000000,22000000,2708356959627183185,-76.0,1,37,34,0,0
5,2015-08-20T15:48:31,2412000000,22000000,2848812985857999950,-38.0,4,37,35,0,0
5,2015-08-20T15:48:31,2412000000,22000000,3840169614836171867,-94.0,1,102,63,0,0
5,2015-08-20T15:48:31,2412000000,22000000,2412244974857225294,-66.0,1,102,63,0,0
6,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,5,98,63,0,0
6,2015-08-20T15:48:31,2412000000,22000000,2249551794131043464,-86.5882339478,1,75,11,0,0
6,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-67.1142883301,4,94,60,0,0
6,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-34.0,6,35,35,0,0
7,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-66.4000015259,4,97,64,0,0
7,2015-08-20T15:48:31,2412000000,22000000,2249551794131043464,-57.25,5,98,63,0,0
7,2015-08-20T15:48:31,2412000000,22000000,3840169614800782476,-52.0,1,4,21,0,0
7,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-33.375,6,35,35,0,0
7,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,5,99,63,0,0
7,2015-08-20T15:48:31,2412000000,22000000,2412244974914897032,-56.5999984741,4,100,64,0,0
8,2015-08-20T15:48:31,2412000000,22000000,2848812985739314019,-58.0,1,75,11,0,0
8,2015-08-20T15:48:31,2412000000,22000000,3840169614833681540,-65.1014480591,4,96,64,0,0
8,2015-08-20T15:48:31,2412000000,22000000,3840169614827193480,-58.0,5,98,64,0,0
8,2015-08-20T15:48:31,2412000000,22000000,3840169614769521742,-32.0,6,36,35,0,0
8,2015-08-20T15:48:31,2412000000,22000000,2708356959627183185,-62.0,2,70,14,0,0
8,2015-08-20T15:48:31,2412000000,22000000,2848812985857999950,-51.5522384644,2,21,18,0,0
